script,inputs,outputs,called_by,depends_on,existing_outputs,consumed_by,modifies_production_data
"apply_approved_overrides.js","Review CSV from dev/reports + existing override data","Updated override data","","create_override_review_sheet.js","No","","No"
"apply_lamsa_auto_safe_consolidation.js","data/jesus_verses_final.json + consolidation audit data","Rewritten dataset + dry-run report + summary CSV","","build_lamsa_candidate_consolidation_audit.js","Yes","","Yes"
"apply_lamsa_epub_source_replacement.js","Dataset + LAMSA verse maps + normalized EPUB map","Rewritten dataset + map + apply report","","extract_lamsa_epub_verse_map.js; normalize_lamsa_epub_verse_map.js","Yes","","Yes"
"apply_lamsa_held_speech_review.js","Dataset + reviewed hold-review CSV","Rewritten dataset + dry-run report + summary CSV","","build_lamsa_held_speech_review_sheet.js","Yes","","Yes"
"apply_lamsa_speechtext_auto.js","Dataset + preview JSON","Rewritten dataset + apply report","","build_lamsa_speech_apply_preview.js","Yes","","Yes"
"apply_speech_manual_overrides.js","Dataset + manual review sheet","Rewritten dataset + apply report","","create_speech_manual_review_sheet.js","Yes","","Yes"
"audit_jesus_dataset.js","data/jesus_verses_final.json","Audit JSON in dev/reports","","","Yes","","No"
"audit_lamsa_speech_candidates.js","Dataset + discourse context","Audit JSON in dev/reports","","load_jesus_discourse_context.js","Yes","","No"
"audit_possible_mixed_speech.js","data/jesus_verses_final.json","Audit report in dev/reports","","","Yes","","No"
"audit_review_sheet_candidates.js","Review-sheet candidate data + dataset","Audit report in dev/reports","","","Yes","","No"
"audit_speech_blocks.js","Dataset + js/speechBlocks.js","Mostly console/audit output; no tracked output file detected","","","No","","No"
"build_lamsa_candidate_consolidation_audit.js","Dataset + discourse context","Audit JSON/CSV under dev/reports","apply_lamsa_auto_safe_consolidation.js","load_jesus_discourse_context.js","Yes","Yes","No"
"build_lamsa_flagged_rows_reconciliation.js","Dataset + review/reconciliation inputs","Reconciliation JSON in dev/reports","","","Yes","","No"
"build_lamsa_held_speech_review_sheet.js","Dataset + review inputs","Review-sheet JSON/CSV in dev/reports","apply_lamsa_held_speech_review.js","","Yes","Yes","No"
"build_lamsa_neighbor_context_audit.js","Dataset + discourse context","Audit JSON in dev/reports","","load_jesus_discourse_context.js","Yes","","No"
"build_lamsa_replacement_preview.js","Dataset + verse maps","Preview JSON in dev/reports","apply_lamsa_epub_source_replacement.js","","Yes","Yes","No"
"build_lamsa_speech_apply_preview.js","Dataset + discourse context","Preview JSON in dev/reports","apply_lamsa_speechtext_auto.js","load_jesus_discourse_context.js","Yes","Yes","No"
"build_lamsa_speech_regeneration_preview.js","Dataset + discourse context","Preview JSON in dev/reports","reduce_lamsa_manual_candidates.js","load_jesus_discourse_context.js","Yes","Yes","No"
"build_project_cleanup_inventory.js","Repository files and metadata","Cleanup inventory JSON in dev/reports","","","Yes","","No"
"check_audit_extraction_regressions.js","Existing audit/report data","Validation output only","","","No","","No"
"check_review_reducer_regressions.js","Review-reduction artifacts","Validation output only","","","No","","No"
"check_speech_candidates_purity.js","Candidate data + audit files","Validation output only","","","No","","No"
"create_override_review_sheet.js","Draft overrides + dataset context","Review CSV in dev/reports","apply_approved_overrides.js","draft_jesus_speech_overrides.js","Yes","Yes","No"
"create_speech_manual_review_sheet.js","Dataset + candidate data","Review sheet JSON/CSV in dev/reports","apply_speech_manual_overrides.js","","Yes","Yes","No"
"diff_lamsa_sources.js","Two LAMSA source mappings","Diff report in dev/reports","","","Yes","","No"
"draft_jesus_speech_overrides.js","Dataset + candidate context","Draft override data","create_override_review_sheet.js","","No","Yes","No"
"extract_lamsa_epub_verse_map.js","Source EPUB/LAMSA extraction inputs","Verse-map JSON + extraction report","normalize_lamsa_epub_verse_map.js","","Yes","Yes","No"
"fill_remaining_speech_candidates.js","Existing candidate data + review inputs","Updated candidate data/report","","","Yes","","No"
"generate_highlight_report.js","Dataset + overrides + review layer","Highlight report JSON","verify_highlight_pipeline.js","js/highlightEngine.js; js/jesusSpeechText.js","Yes","Yes","No"
"generate_speech_text_candidates.js","Dataset + candidate context","Candidate-output JSON/report in dev/reports","","","Yes","","No"
"learn_review_patterns.js","Review data","Approved review-pattern JSON in dev/reports","","","Yes","","No"
"load_jesus_discourse_context.js","data/context/jesus_discourse_blocks.json","No file output; helper module","audit_lamsa_speech_candidates.js; build_lamsa_candidate_consolidation_audit.js; build_lamsa_neighbor_context_audit.js; build_lamsa_speech_apply_preview.js; build_lamsa_speech_regeneration_preview.js; reduce_lamsa_manual_candidates.js","","No","Yes","No"
"normalize_lamsa_epub_verse_map.js","Raw extracted map","Normalized verse map + normalization report","apply_lamsa_epub_source_replacement.js","extract_lamsa_epub_verse_map.js","Yes","Yes","No"
"reduce_lamsa_manual_candidates.js","Preview data + discourse context","Manual reduction preview JSON/CSV","","load_jesus_discourse_context.js","Yes","","No"
"reduce_speech_review_queue.js","Review queue/candidate data","Reduction report + review CSV","","","Yes","","No"
"verify_highlight_pipeline.js","Dataset + overrides + existing highlight report","Validation output only","","js/highlightEngine.js; js/jesusSpeechText.js","No","","No"
